customer_id,customer_name,customer_type,country,age,age_group,gender,repeat_guest_flag,email,phone
1,Nisha Kapoor,Leisure,India,71,65+,Male,0,nisha.kapoor1@gmail.com,9325681936
2,Shruti Trivedi,Family,India,56,51-65,Female,0,shruti.trivedi2@gmail.com,9574765466
3,Meera Reddy,Couple,India,68,65+,Male,0,meera.reddy3@gmail.com,9404713332
4,Shreyash Pillai,Leisure,India,57,51-65,Female,1,shreyash.pillai4@gmail.com,9906528433
5,Kavya Pillai,Business,India,32,26-35,Male,1,kavya.pillai5@gmail.com,9149621604
6,Kavya Nair,Business,India,72,65+,Male,0,kavya.nair6@gmail.com,9776205431
7,Rohan Shah,Business,Canada,62,51-65,Female,0,rohan.shah7@gmail.com,9361976301
8,Anjali Bose,Family,Singapore,18,18-25,Male,0,anjali.bose8@gmail.com,9334978881
9,Divya Trivedi,Couple,Australia,51,51-65,Female,1,divya.trivedi9@gmail.com,9367574609
10,Neha Iyer,Couple,India,69,65+,Female,0,neha.iyer10@gmail.com,9700141462
11,Ayush Malhotra,Business,India,57,51-65,Female,0,ayush.malhotra11@gmail.com,9688273030
12,Akash Kulkarni,Family,India,65,51-65,Female,0,akash.kulkarni12@gmail.com,9907214179
13,Kavya Pandey,Couple,India,35,26-35,Female,0,kavya.pandey13@gmail.com,9394846763
14,Akash Singh,Business,Canada,36,36-50,Male,1,akash.singh14@gmail.com,9443285529
15,Tanvi Singh,Business,India,27,26-35,Male,0,tanvi.singh15@gmail.com,9264073400
16,Meera Singh,Business,India,44,36-50,Female,0,meera.singh16@gmail.com,9546434187
17,Sneha Shah,Leisure,India,42,36-50,Male,0,sneha.shah17@gmail.com,9922050912
18,Rohan Kapoor,Leisure,India,18,18-25,Female,0,rohan.kapoor18@gmail.com,9518744974
19,Nikhil Mishra,Leisure,Nepal,52,51-65,Male,0,nikhil.mishra19@gmail.com,9393062061
20,Shruti Nair,Leisure,India,42,36-50,Female,0,shruti.nair20@gmail.com,9956998797
